Entity,Code,Date,Daily new confirmed cases of COVID-19 per million people,Daily new confirmed cases of COVID-19 per million people Annotations
Afghanistan,AFG,2019-12-31,0,
Afghanistan,AFG,2020-01-01,0,
Afghanistan,AFG,2020-01-02,0,
Afghanistan,AFG,2020-01-03,0,
Afghanistan,AFG,2020-01-04,0,
Afghanistan,AFG,2020-01-05,0,
Afghanistan,AFG,2020-01-06,0,
Afghanistan,AFG,2020-01-07,0,
Afghanistan,AFG,2020-01-08,0,
Afghanistan,AFG,2020-01-09,0,
Afghanistan,AFG,2020-01-10,0,
Afghanistan,AFG,2020-01-11,0,
Afghanistan,AFG,2020-01-12,0,
Afghanistan,AFG,2020-01-13,0,
Afghanistan,AFG,2020-01-14,0,
Afghanistan,AFG,2020-01-15,0,
Afghanistan,AFG,2020-01-16,0,
Afghanistan,AFG,2020-01-17,0,
Afghanistan,AFG,2020-01-18,0,
Afghanistan,AFG,2020-01-19,0,
Afghanistan,AFG,2020-01-20,0,
Afghanistan,AFG,2020-01-21,0,
Afghanistan,AFG,2020-01-22,0,
Afghanistan,AFG,2020-01-23,0,
Afghanistan,AFG,2020-01-24,0,
Afghanistan,AFG,2020-01-25,0,
Afghanistan,AFG,2020-01-26,0,
Afghanistan,AFG,2020-01-27,0,
Afghanistan,AFG,2020-01-28,0,
Afghanistan,AFG,2020-01-29,0,
Afghanistan,AFG,2020-01-30,0,
Afghanistan,AFG,2020-01-31,0,
Afghanistan,AFG,2020-02-01,0,
Afghanistan,AFG,2020-02-02,0,
Afghanistan,AFG,2020-02-03,0,
Afghanistan,AFG,2020-02-04,0,
Afghanistan,AFG,2020-02-05,0,
Afghanistan,AFG,2020-02-06,0,
Afghanistan,AFG,2020-02-07,0,
Afghanistan,AFG,2020-02-08,0,
Afghanistan,AFG,2020-02-09,0,
Afghanistan,AFG,2020-02-10,0,
Afghanistan,AFG,2020-02-11,0,
Afghanistan,AFG,2020-02-12,0,
Afghanistan,AFG,2020-02-13,0,
Afghanistan,AFG,2020-02-14,0,
Afghanistan,AFG,2020-02-15,0,
Afghanistan,AFG,2020-02-16,0,
Afghanistan,AFG,2020-02-17,0,
Afghanistan,AFG,2020-02-18,0,
Afghanistan,AFG,2020-02-19,0,
Afghanistan,AFG,2020-02-20,0,
Afghanistan,AFG,2020-02-21,0,
Afghanistan,AFG,2020-02-22,0,
Afghanistan,AFG,2020-02-23,0,
Afghanistan,AFG,2020-02-24,0,
Afghanistan,AFG,2020-02-25,0.026,
Afghanistan,AFG,2020-02-26,0,
Afghanistan,AFG,2020-02-27,0,
Afghanistan,AFG,2020-02-28,0,
Afghanistan,AFG,2020-02-29,0,
Afghanistan,AFG,2020-03-01,0,
Afghanistan,AFG,2020-03-02,0,
Afghanistan,AFG,2020-03-08,0.077,
Afghanistan,AFG,2020-03-11,0.077,
Afghanistan,AFG,2020-03-15,0.077,
Afghanistan,AFG,2020-03-16,0.154,
Afghanistan,AFG,2020-03-17,0.128,
Afghanistan,AFG,2020-03-18,0.026,
Afghanistan,AFG,2020-03-19,0,
Afghanistan,AFG,2020-03-20,0,
Afghanistan,AFG,2020-03-21,0.051,
Afghanistan,AFG,2020-03-22,0,
Afghanistan,AFG,2020-03-23,0.257,
Afghanistan,AFG,2020-03-24,0.154,
Afghanistan,AFG,2020-03-25,0.051,
Afghanistan,AFG,2020-03-26,0.848,
Afghanistan,AFG,2020-03-27,0,
Afghanistan,AFG,2020-03-28,0.411,
Afghanistan,AFG,2020-03-29,0.385,
Afghanistan,AFG,2020-03-30,0.206,
Afghanistan,AFG,2020-03-31,0.694,
Afghanistan,AFG,2020-04-01,0.642,
Afghanistan,AFG,2020-04-02,0.668,
Afghanistan,AFG,2020-04-03,1.105,
Afghanistan,AFG,2020-04-04,0,
Afghanistan,AFG,2020-04-05,0.899,
Afghanistan,AFG,2020-04-06,0.745,
Afghanistan,AFG,2020-04-07,0.976,
Afghanistan,AFG,2020-04-08,0.771,
Afghanistan,AFG,2020-04-09,1.439,
Afghanistan,AFG,2020-04-10,1.567,
Afghanistan,AFG,2020-04-11,0.95,
Afghanistan,AFG,2020-04-12,0.873,
Afghanistan,AFG,2020-04-13,1.336,
Afghanistan,AFG,2020-04-14,1.49,
Afghanistan,AFG,2020-04-15,1.259,
Afghanistan,AFG,2020-04-16,1.798,
Afghanistan,AFG,2020-04-17,0.257,
Afghanistan,AFG,2020-04-18,1.31,
Afghanistan,AFG,2020-04-19,1.618,
Afghanistan,AFG,2020-04-20,2.261,
Afghanistan,AFG,2020-04-21,0.899,
Afghanistan,AFG,2020-04-22,1.567,
Afghanistan,AFG,2020-04-23,2.158,
Afghanistan,AFG,2020-04-24,2.697,
Afghanistan,AFG,2020-04-25,1.798,
Afghanistan,AFG,2020-04-26,2.877,
Afghanistan,AFG,2020-04-27,1.747,
Afghanistan,AFG,2020-04-28,4.418,
Afghanistan,AFG,2020-04-29,3.185,
Afghanistan,AFG,2020-04-30,3.134,
Afghanistan,AFG,2020-05-01,5.703,
Afghanistan,AFG,2020-05-02,4.213,
Afghanistan,AFG,2020-05-03,3.442,
Afghanistan,AFG,2020-05-04,6.037,
Afghanistan,AFG,2020-05-05,4.881,
Afghanistan,AFG,2020-05-06,8.477,
Afghanistan,AFG,2020-05-07,4.316,
Afghanistan,AFG,2020-05-08,4.393,
Afghanistan,AFG,2020-05-09,5.523,
Afghanistan,AFG,2020-05-10,6.55,
Afghanistan,AFG,2020-05-11,9.479,
Afghanistan,AFG,2020-05-12,7.321,
Afghanistan,AFG,2020-05-13,7.193,
Afghanistan,AFG,2020-05-14,6.653,
Afghanistan,AFG,2020-05-15,2.903,
Afghanistan,AFG,2020-05-16,27.307,
Afghanistan,AFG,2020-05-17,0,
Afghanistan,AFG,2020-05-18,6.73,
Afghanistan,AFG,2020-05-19,10.481,
Afghanistan,AFG,2020-05-20,14.925,
Afghanistan,AFG,2020-05-21,12.639,
Afghanistan,AFG,2020-05-22,13.64,
Afghanistan,AFG,2020-05-23,13.872,
Afghanistan,AFG,2020-05-24,20.088,
Afghanistan,AFG,2020-05-25,15.002,
Afghanistan,AFG,2020-05-26,15.182,
Afghanistan,AFG,2020-05-27,16.903,
Afghanistan,AFG,2020-05-28,16.055,
Afghanistan,AFG,2020-05-29,14.899,
Afghanistan,AFG,2020-05-30,16.004,
Afghanistan,AFG,2020-05-31,22.246,
Afghanistan,AFG,2020-06-01,17.468,
Afghanistan,AFG,2020-06-02,14,
Afghanistan,AFG,2020-06-03,19.497,
Afghanistan,AFG,2020-06-04,19.472,
Afghanistan,AFG,2020-06-05,20.217,
Afghanistan,AFG,2020-06-06,23.505,
Afghanistan,AFG,2020-06-07,14.951,
Afghanistan,AFG,2020-06-08,20.319,
Afghanistan,AFG,2020-06-09,14.771,
Afghanistan,AFG,2020-06-10,13.923,
Afghanistan,AFG,2020-06-11,17.571,
Afghanistan,AFG,2020-06-12,19.189,
Afghanistan,AFG,2020-06-13,16.851,
Afghanistan,AFG,2020-06-14,14.283,
Afghanistan,AFG,2020-06-15,17.057,
Afghanistan,AFG,2020-06-16,19.549,
Afghanistan,AFG,2020-06-17,20.114,
Afghanistan,AFG,2020-06-18,14.488,
Afghanistan,AFG,2020-06-19,16.903,
Afghanistan,AFG,2020-06-20,8.888,
Afghanistan,AFG,2020-06-21,14.026,
Afghanistan,AFG,2020-06-22,10.506,
Afghanistan,AFG,2020-06-23,7.963,
Afghanistan,AFG,2020-06-24,8.683,
Afghanistan,AFG,2020-06-25,6.011,
Afghanistan,AFG,2020-06-26,11.817,
Afghanistan,AFG,2020-06-27,7.09,
Afghanistan,AFG,2020-06-28,4.239,
Afghanistan,AFG,2020-06-29,9.017,
Afghanistan,AFG,2020-06-30,6.962,
Afghanistan,AFG,2020-07-01,7.167,
Afghanistan,AFG,2020-07-02,8.195,
Afghanistan,AFG,2020-07-03,4.778,
Afghanistan,AFG,2020-07-04,7.758,
Afghanistan,AFG,2020-07-05,8.94,
Afghanistan,AFG,2020-07-06,7.167,
Afghanistan,AFG,2020-07-07,11.123,
Afghanistan,AFG,2020-07-08,5.395,
Afghanistan,AFG,2020-07-09,1.516,
Afghanistan,AFG,2020-07-10,6.55,
Afghanistan,AFG,2020-07-11,11.765,
Afghanistan,AFG,2020-07-12,2.183,
Afghanistan,AFG,2020-07-13,0,
Afghanistan,AFG,2020-07-14,0.103,
Afghanistan,AFG,2020-07-15,7.321,
Afghanistan,AFG,2020-07-16,6.525,
